# Cutout sizes based on A_AREA from the Rafelski et al. (2015) HUDF catalog
#
# id xsize ysize 
9 10.0 10.0  
12 4.5 4.5  
16 4.5 4.5  
17 4.5 4.5  
19 4.5 4.5  
21 4.5 4.5  
24 4.5 4.5  
30 4.5 4.5  
34 4.5 4.5  
35 4.5 4.5  
36 4.5 4.5  
37 4.5 4.5  
38 4.5 4.5  
39 4.5 4.5  
40 4.5 4.5  
45 4.5 4.5  
46 4.5 4.5  
47 4.5 4.5  
48 4.5 4.5  
52 4.5 4.5  
53 4.5 4.5  
54 4.5 4.5  
55 4.5 4.5  
56 4.5 4.5  
57 4.5 4.5  
60 4.5 4.5  
62 4.5 4.5  
65 4.5 4.5  
70 4.5 4.5  
73 4.5 4.5  
74 4.5 4.5  
75 4.5 4.5  
76 4.5 4.5  
78 4.5 4.5  
80 8.2954350096 8.2954350096  
81 4.5 4.5  
82 4.5 4.5  
84 4.5 4.5  
85 4.5 4.5  
88 4.5 4.5  
90 4.5 4.5  
91 4.5 4.5  
92 4.5 4.5  
93 4.5 4.5  
95 4.5 4.5  
96 4.5 4.5  
97 4.5 4.5  
101 4.5 4.5  
103 4.5 4.5  
104 4.5 4.5  
105 4.5 4.5  
108 4.5 4.5  
110 4.5 4.5  
111 4.5 4.5  
112 4.5 4.5  
114 4.5 4.5  
115 4.5 4.5  
116 4.5 4.5  
119 4.5 4.5  
120 4.5 4.5  
121 4.5 4.5  
123 4.5 4.5  
124 4.5 4.5  
127 4.5 4.5  
129 4.5 4.5  
130 4.5 4.5  
131 4.5 4.5  
132 4.5 4.5  
133 4.5 4.5  
134 4.5 4.5  
136 4.5 4.5  
137 4.5 4.5  
140 4.5 4.5  
143 4.5 4.5  
145 4.5 4.5  
147 4.5 4.5  
148 4.5 4.5  
149 4.5 4.5  
150 4.5 4.5  
153 4.5 4.5  
155 4.5 4.5  
156 4.5 4.5  
157 4.5 4.5  
158 4.5 4.5  
159 4.5 4.5  
163 4.5 4.5  
164 4.5 4.5  
166 4.5 4.5  
167 4.5 4.5  
168 4.5 4.5  
169 4.5 4.5  
171 4.5 4.5  
172 4.65194711262 4.65194711262  
173 4.5 4.5  
175 4.5 4.5  
177 4.5 4.5  
178 4.5 4.5  
179 4.5 4.5  
181 4.5 4.5  
182 4.5 4.5  
183 4.5 4.5  
185 4.5 4.5  
186 4.5 4.5  
189 4.5 4.5  
194 4.5 4.5  
195 4.5 4.5  
196 4.5 4.5  
197 4.5 4.5  
198 4.5 4.5  
201 4.5 4.5  
202 4.5 4.5  
205 4.5 4.5  
214 4.5 4.5  
215 4.5 4.5  
216 4.5 4.5  
220 4.5 4.5  
222 4.5 4.5  
223 4.5 4.5  
224 4.5 4.5  
227 4.5 4.5  
230 4.5 4.5  
234 4.5 4.5  
237 4.5 4.5  
239 4.5 4.5  
240 4.5 4.5  
241 4.5 4.5  
243 4.5 4.5  
244 4.5 4.5  
245 4.5 4.5  
246 4.5 4.5  
248 4.5 4.5  
249 4.5 4.5  
250 4.5 4.5  
252 4.5 4.5  
254 4.5 4.5  
255 4.5 4.5  
256 4.5 4.5  
263 4.5 4.5  
264 4.5 4.5  
265 4.5 4.5  
266 4.5 4.5  
267 4.5 4.5  
268 4.5 4.5  
270 4.5 4.5  
272 4.5 4.5  
273 4.5 4.5  
274 4.5 4.5  
275 4.5 4.5  
276 4.5 4.5  
277 4.5 4.5  
279 4.5 4.5  
280 4.5 4.5  
281 4.5 4.5  
282 4.5 4.5  
283 4.5 4.5  
284 4.5 4.5  
285 4.5 4.5  
287 4.5 4.5  
288 4.5 4.5  
289 4.5 4.5  
290 4.5 4.5  
292 4.5 4.5  
293 4.5 4.5  
294 4.5 4.5  
295 4.5 4.5  
296 4.5 4.5  
298 4.5 4.5  
299 4.5 4.5  
301 4.5 4.5  
302 4.5 4.5  
303 4.5 4.5  
304 4.5 4.5  
305 4.5 4.5  
306 4.5 4.5  
307 4.5 4.5  
309 4.5 4.5  
310 4.5 4.5  
312 4.5 4.5  
313 4.5 4.5  
314 4.5 4.5  
316 4.5 4.5  
317 4.5 4.5  
318 4.5 4.5  
319 4.5 4.5  
321 4.5 4.5  
322 4.5 4.5  
325 4.5 4.5  
326 4.5 4.5  
327 4.5 4.5  
329 4.5 4.5  
330 4.5 4.5  
332 4.5 4.5  
333 4.5 4.5  
334 4.5 4.5  
335 4.5 4.5  
336 4.5 4.5  
337 4.5 4.5  
338 4.5 4.5  
339 4.5 4.5  
340 4.5 4.5  
342 4.5 4.5  
343 4.5 4.5  
344 4.5 4.5  
345 4.5 4.5  
346 4.5 4.5  
347 4.5 4.5  
348 4.5 4.5  
349 4.5 4.5  
352 4.5 4.5  
353 4.5 4.5  
354 4.5 4.5  
355 4.5 4.5  
356 4.5 4.5  
357 4.5 4.5  
358 4.5 4.5  
360 4.5 4.5  
361 4.5 4.5  
363 4.5 4.5  
364 4.5 4.5  
365 4.5 4.5  
366 4.5 4.5  
367 4.5 4.5  
369 4.5 4.5  
372 4.5 4.5  
373 4.5 4.5  
374 4.5 4.5  
375 4.5 4.5  
376 4.5 4.5  
377 4.5 4.5  
378 4.5 4.5  
379 4.5 4.5  
381 4.5 4.5  
382 4.5 4.5  
383 4.5 4.5  
384 4.5 4.5  
385 4.5 4.5  
387 4.5 4.5  
388 4.5 4.5  
390 4.5 4.5  
392 4.5 4.5  
394 4.5 4.5  
395 4.5 4.5  
396 4.5 4.5  
397 4.5 4.5  
398 4.5 4.5  
399 4.5 4.5  
400 4.5 4.5  
402 4.5 4.5  
403 4.5 4.5  
404 4.5 4.5  
405 4.5 4.5  
406 4.5 4.5  
407 4.5 4.5  
408 4.5 4.5  
409 4.5 4.5  
410 4.5 4.5  
411 4.5 4.5  
412 4.5 4.5  
413 4.5 4.5  
414 4.5 4.5  
415 4.5 4.5  
416 4.5 4.5  
417 4.5 4.5  
418 4.5 4.5  
419 4.5 4.5  
420 4.5 4.5  
421 4.5 4.5  
423 4.5 4.5  
424 4.5 4.5  
425 4.5 4.5  
427 4.5 4.5  
428 4.5 4.5  
429 4.5 4.5  
430 4.5 4.5  
431 4.5 4.5  
432 4.5 4.5  
433 4.5 4.5  
435 4.5 4.5  
436 4.5 4.5  
437 4.5 4.5  
438 4.5 4.5  
440 4.5 4.5  
441 4.5 4.5  
442 4.5 4.5  
443 4.5 4.5  
444 4.5 4.5  
446 4.5 4.5  
447 4.5 4.5  
448 4.5 4.5  
449 4.5 4.5  
451 4.5 4.5  
453 4.5 4.5  
454 4.5 4.5  
455 4.5 4.5  
456 4.5 4.5  
457 4.5 4.5  
458 4.5 4.5  
459 4.5 4.5  
460 4.5 4.5  
462 4.5 4.5  
463 4.5 4.5  
464 4.5 4.5  
465 4.5 4.5  
466 4.5 4.5  
467 4.5 4.5  
468 4.5 4.5  
469 4.5 4.5  
470 4.5 4.5  
471 4.5 4.5  
472 4.5 4.5  
473 4.5 4.5  
478 4.5 4.5  
479 4.5 4.5  
480 4.5 4.5  
481 4.5 4.5  
482 4.5 4.5  
483 4.5 4.5  
484 4.5 4.5  
485 4.5 4.5  
486 4.5 4.5  
487 4.5 4.5  
489 4.5 4.5  
490 4.5 4.5  
491 4.5 4.5  
492 4.5 4.5  
493 4.5 4.5  
494 4.5 4.5  
495 4.5 4.5  
496 4.5 4.5  
497 4.5 4.5  
498 4.5 4.5  
500 4.5 4.5  
502 4.5 4.5  
504 4.5 4.5  
505 4.5 4.5  
506 4.5 4.5  
507 4.5 4.5  
508 4.5 4.5  
509 4.5 4.5  
511 4.5 4.5  
512 4.5 4.5  
513 4.5 4.5  
514 4.5 4.5  
515 4.5 4.5  
516 4.5 4.5  
517 4.5 4.5  
518 4.5 4.5  
520 4.5 4.5  
521 4.5 4.5  
524 4.5 4.5  
525 4.5 4.5  
526 4.5 4.5  
527 4.5 4.5  
530 4.5 4.5  
531 4.5 4.5  
532 4.5 4.5  
533 4.5 4.5  
534 9.26057263329 9.26057263329  
537 4.5 4.5  
538 4.5 4.5  
539 4.5 4.5  
540 4.5 4.5  
543 4.5 4.5  
544 4.5 4.5  
545 4.5 4.5  
546 4.5 4.5  
548 4.5 4.5  
549 4.5 4.5  
551 4.5 4.5  
552 4.5 4.5  
553 4.5 4.5  
554 4.5 4.5  
555 4.5 4.5  
556 4.5 4.5  
558 4.5 4.5  
559 4.5 4.5  
560 4.5 4.5  
561 4.5 4.5  
563 4.5 4.5  
564 4.5 4.5  
565 4.5 4.5  
566 4.5 4.5  
567 4.5 4.5  
570 4.5 4.5  
571 4.5 4.5  
572 4.5 4.5  
573 4.5 4.5  
575 4.5 4.5  
576 4.5 4.5  
577 4.5 4.5  
578 4.5 4.5  
581 4.5 4.5  
583 4.5 4.5  
584 4.5 4.5  
585 4.5 4.5  
586 4.5 4.5  
587 4.5 4.5  
588 4.5 4.5  
589 4.5 4.5  
590 4.5 4.5  
591 4.5 4.5  
593 4.5 4.5  
594 4.5 4.5  
595 4.5 4.5  
596 4.5 4.5  
597 4.5 4.5  
598 4.5 4.5  
599 4.5 4.5  
600 4.5 4.5  
601 4.5 4.5  
602 4.5 4.5  
603 4.5 4.5  
604 4.5 4.5  
605 4.5 4.5  
606 4.5 4.5  
607 4.5 4.5  
609 4.5 4.5  
610 4.5 4.5  
611 4.5 4.5  
612 4.5 4.5  
613 4.5 4.5  
614 4.5 4.5  
615 4.5 4.5  
616 4.5 4.5  
617 4.5 4.5  
618 4.5 4.5  
619 4.5 4.5  
620 4.5 4.5  
621 4.5 4.5  
622 4.5 4.5  
623 4.5 4.5  
624 4.5 4.5  
627 4.5 4.5  
628 4.5 4.5  
629 4.5 4.5  
630 4.5 4.5  
631 4.5 4.5  
632 4.5 4.5  
634 4.5 4.5  
635 4.5 4.5  
636 4.5 4.5  
637 4.5 4.5  
638 4.5 4.5  
639 4.5 4.5  
640 4.5 4.5  
641 4.5 4.5  
642 4.5 4.5  
643 4.5 4.5  
644 4.5 4.5  
645 4.5 4.5  
646 4.5 4.5  
648 4.5 4.5  
653 4.5 4.5  
654 4.5 4.5  
655 4.5 4.5  
656 4.5 4.5  
657 4.5 4.5  
658 4.5 4.5  
659 4.5 4.5  
660 4.5 4.5  
661 4.5 4.5  
662 4.5 4.5  
664 4.5 4.5  
665 4.5 4.5  
667 4.5 4.5  
668 4.5 4.5  
669 4.5 4.5  
671 4.5 4.5  
673 4.5 4.5  
674 4.5 4.5  
675 4.5 4.5  
676 4.5 4.5  
677 4.5 4.5  
678 4.5 4.5  
679 4.5 4.5  
680 4.5 4.5  
681 4.5 4.5  
682 4.5 4.5  
683 4.5 4.5  
684 4.5 4.5  
685 4.5 4.5  
686 4.5 4.5  
687 4.5 4.5  
688 4.5 4.5  
691 4.5 4.5  
692 5.58802813591 5.58802813591  
693 4.5 4.5  
694 4.5 4.5  
695 4.5 4.5  
696 4.5 4.5  
697 4.5 4.5  
698 4.5 4.5  
699 4.5 4.5  
700 4.5 4.5  
701 4.5 4.5  
702 4.5 4.5  
703 4.5 4.5  
704 4.5 4.5  
705 4.5 4.5  
706 4.5 4.5  
707 4.5 4.5  
711 4.5 4.5  
712 4.5 4.5  
713 4.5 4.5  
714 4.5 4.5  
717 4.5 4.5  
719 4.5 4.5  
720 4.5 4.5  
721 4.5 4.5  
722 4.5 4.5  
723 4.5 4.5  
724 4.5 4.5  
726 4.5 4.5  
728 4.5 4.5  
730 4.5 4.5  
731 4.5 4.5  
733 4.5 4.5  
734 4.5 4.5  
735 4.5 4.5  
737 4.5 4.5  
741 4.5 4.5  
742 4.5 4.5  
744 4.5 4.5  
745 4.5 4.5  
746 4.5 4.5  
747 4.5 4.5  
748 4.5 4.5  
749 4.5 4.5  
750 4.5 4.5  
751 4.5 4.5  
752 4.5 4.5  
753 4.5 4.5  
754 4.5 4.5  
755 4.5 4.5  
756 4.5 4.5  
757 4.5 4.5  
758 4.5 4.5  
760 4.5 4.5  
761 4.5 4.5  
762 4.5 4.5  
763 4.5 4.5  
764 4.5 4.5  
765 4.5 4.5  
766 4.5 4.5  
767 4.5 4.5  
768 4.5 4.5  
769 4.5 4.5  
770 4.5 4.5  
771 4.5 4.5  
772 4.5 4.5  
773 4.5 4.5  
774 4.5 4.5  
775 4.5 4.5  
777 4.5 4.5  
778 4.5 4.5  
779 4.5 4.5  
780 4.5 4.5  
781 4.5 4.5  
783 4.5 4.5  
784 4.5 4.5  
785 4.5 4.5  
786 4.5 4.5  
788 4.5 4.5  
789 4.5 4.5  
790 4.5 4.5  
791 4.5 4.5  
792 4.5 4.5  
793 4.5 4.5  
794 4.5 4.5  
795 4.5 4.5  
796 4.5 4.5  
797 4.5 4.5  
798 4.5 4.5  
799 4.5 4.5  
800 4.5 4.5  
801 4.5 4.5  
802 4.5 4.5  
803 4.5 4.5  
804 4.5 4.5  
805 4.5 4.5  
806 4.5 4.5  
